 * Running on http://127.0.0.1:5000 (Press CTRL+C to quit)
127.0.0.1 - - [01/Sep/2022 23:28:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:28:30] "GET /static/styles/GraficaLogin.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:28:30] "[36mGET /static/imgs/logored.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Sep/2022 23:28:31] "[36mGET /static/styles/fonts/OpenSans/OpenSans-Bold.ttf HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Sep/2022 23:28:31] "[36mGET /static/styles/fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Sep/2022 23:28:31] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [01/Sep/2022 23:28:36] "GET /register HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:28:36] "[36mGET /static/styles/GraficaLogin.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Sep/2022 23:28:36] "[36mGET /static/imgs/logored.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Sep/2022 23:28:41] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:28:46] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:28:52] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:28:57] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:02] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:07] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:12] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:17] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:22] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:22] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:22] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:22] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:22] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:22] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /register HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "[36mGET /static/styles/GraficaLogin.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Sep/2022 23:29:23] "[36mGET /static/imgs/logored.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Sep/2022 23:29:28] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:33] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:39] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:45] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:51] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:29:57] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:30:03] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:30:09] "POST /_process_srv0 HTTP/1.1" 200 -
127.0.0.1 - - [01/Sep/2022 23:30:15] "POST /_process_srv0 HTTP/1.1" 200 -
